p_link,decoder,series,ler,ci95_low,ci95_high,source_shots,source_errors,estimator,assumption,ci_method
0.001,standard,dual_bottom,4.0444444444444444e-05,3.862856205505883e-05,4.234568567297353e-05,45000000,1820,direct observed failure fraction,,95% Wilson
0.002,standard,dual_bottom,4.277777777777778e-05,4.0909064275404956e-05,4.4731849720920595e-05,45000000,1925,direct observed failure fraction,,95% Wilson
0.003,standard,dual_bottom,4.12e-05,3.9366847462656456e-05,4.311851124748988e-05,45000000,1854,direct observed failure fraction,,95% Wilson
0.004,standard,dual_bottom,4.211111111111111e-05,4.025734200251549e-05,4.4050238774297724e-05,45000000,1895,direct observed failure fraction,,95% Wilson
0.005,standard,dual_bottom,4.248888888888889e-05,4.062663689357998e-05,4.443649937429022e-05,45000000,1912,direct observed failure fraction,,95% Wilson
0.006,standard,dual_bottom,4.2622222222222224e-05,4.075698527323992e-05,4.4572817638532746e-05,45000000,1918,direct observed failure fraction,,95% Wilson
0.007,standard,dual_bottom,4.3155555555555555e-05,4.127842520945502e-05,4.511804427792752e-05,45000000,1942,direct observed failure fraction,,95% Wilson
0.008,standard,dual_bottom,4.1733333333333336e-05,3.988808523276642e-05,4.366394005298979e-05,45000000,1878,direct observed failure fraction,,95% Wilson
0.009,standard,dual_bottom,4.477777777777778e-05,4.28649163225797e-05,4.677599733228287e-05,45000000,2015,direct observed failure fraction,,95% Wilson
0.01,standard,dual_bottom,4.48e-05,4.2886653610150326e-05,4.679870448536265e-05,45000000,2016,direct observed failure fraction,,95% Wilson
0.001,standard,dual_either,7.337777777777778e-05,7.091739420448531e-05,7.592351456745669e-05,45000000,3302,direct observed failure fraction,,95% Wilson
0.002,standard,dual_either,7.666666666666667e-05,7.415082260727693e-05,7.926786338092594e-05,45000000,3450,direct observed failure fraction,,95% Wilson
0.003,standard,dual_either,7.606666666666667e-05,7.356085036326058e-05,7.865783572738118e-05,45000000,3423,direct observed failure fraction,,95% Wilson
0.004,standard,dual_either,7.502222222222222e-05,7.253395644418907e-05,7.759584093588334e-05,45000000,3376,direct observed failure fraction,,95% Wilson
0.005,standard,dual_either,7.606666666666667e-05,7.356085036326058e-05,7.865783572738118e-05,45000000,3423,direct observed failure fraction,,95% Wilson
0.006,standard,dual_either,7.953333333333333e-05,7.697011159418449e-05,8.218190723792144e-05,45000000,3579,direct observed failure fraction,,95% Wilson
0.007,standard,dual_either,7.964444444444445e-05,7.70794036944612e-05,8.229483734089678e-05,45000000,3584,direct observed failure fraction,,95% Wilson
0.008,standard,dual_either,7.733333333333333e-05,7.480639323231265e-05,7.994562597540254e-05,45000000,3480,direct observed failure fraction,,95% Wilson
0.009,standard,dual_either,8.268888888888889e-05,8.007449186077193e-05,8.538863754369243e-05,45000000,3721,direct observed failure fraction,,95% Wilson
0.01,standard,dual_either,8.50888888888889e-05,8.243622046000402e-05,8.782690853470475e-05,45000000,3829,direct observed failure fraction,,95% Wilson
0.001,standard,dual_top,3.5466666666666664e-05,3.3768842967322565e-05,3.7249850055017636e-05,45000000,1596,direct observed failure fraction,,95% Wilson
0.002,standard,dual_top,3.6311111111111114e-05,3.459270200607717e-05,3.8114879760978675e-05,45000000,1634,direct observed failure fraction,,95% Wilson
0.003,standard,dual_top,3.7111111111111113e-05,3.537341961526489e-05,3.893416201520576e-05,45000000,1670,direct observed failure fraction,,95% Wilson
0.004,standard,dual_top,3.522222222222222e-05,3.353040305874649e-05,3.69994011164392e-05,45000000,1585,direct observed failure fraction,,95% Wilson
0.005,standard,dual_top,3.6066666666666665e-05,3.435419166209201e-05,3.78645012578093e-05,45000000,1623,direct observed failure fraction,,95% Wilson
0.006,standard,dual_top,3.971111111111111e-05,3.7912145818874274e-05,4.1595435367694496e-05,45000000,1787,direct observed failure fraction,,95% Wilson
0.007,standard,dual_top,3.9822222222222224e-05,3.8020683756970225e-05,4.170911963285061e-05,45000000,1792,direct observed failure fraction,,95% Wilson
0.008,standard,dual_top,3.864444444444444e-05,3.687036706535874e-05,4.0503880969990285e-05,45000000,1739,direct observed failure fraction,,95% Wilson
0.009,standard,dual_top,4.1666666666666665e-05,3.982292626949716e-05,4.3595765694307816e-05,45000000,1875,direct observed failure fraction,,95% Wilson
0.01,standard,dual_top,4.424444444444444e-05,4.234325771964566e-05,4.623098935960704e-05,45000000,1991,direct observed failure fraction,,95% Wilson
