architecture,p_link,metric,original_shots,original_errors,added_shots,added_errors,shots,errors,ler,ci95_low,ci95_high
d3,0.001,target,15000000,657,30000000,1468,45000000,2125,4.722222222222222e-05,4.525671997827752e-05,4.92730821481303e-05
d3,0.002,target,15000000,1207,30000000,2318,45000000,3525,7.833333333333333e-05,7.578983845970466e-05,8.096218057727904e-05
d3,0.003,target,15000000,1881,30000000,3836,45000000,5717,0.00012704444444444445,0.0001237938374623545,0.00013038039548033095
d3,0.004,target,15000000,2917,30000000,5759,45000000,8676,0.0001928,0.0001887859235429288,0.00019689940928432385
d3,0.005,target,15000000,3985,30000000,8062,45000000,12047,0.0002677111111111111,0.00026297370208935974,0.0002725338401704296
d3,0.006,target,15000000,5322,30000000,10814,45000000,16136,0.0003585777777777778,0.00035308860376433176,0.00036415225631498976
d3,0.007,target,15000000,6928,30000000,13905,45000000,20833,0.0004629555555555556,0.000456712972756124,0.00046928342505817976
d3,0.008,target,15000000,8694,30000000,17263,45000000,25957,0.0005768222222222222,0.0005698495673544803,0.000583880144352531
d3,0.009,target,15000000,10768,30000000,21670,45000000,32438,0.0007208444444444445,0.0007130453260747187,0.0007287288054876088
d3,0.01,target,15000000,12990,30000000,25739,45000000,38729,0.0008606444444444444,0.0008521191989251934,0.0008692549087688718
dual,0.001,both,2000000,4,43000000,110,45000000,114,2.5333333333333334e-06,2.109024397456512e-06,3.043007580974053e-06
dual,0.001,bottom,2000000,84,43000000,1736,45000000,1820,4.0444444444444444e-05,3.862856205505883e-05,4.234568567297353e-05
dual,0.001,either,2000000,149,43000000,3153,45000000,3302,7.337777777777778e-05,7.091739420448531e-05,7.592351456745669e-05
dual,0.001,top,2000000,69,43000000,1527,45000000,1596,3.5466666666666664e-05,3.3768842967322565e-05,3.7249850055017636e-05
dual,0.002,both,2000000,6,43000000,103,45000000,109,2.4222222222222223e-06,2.0081816542315066e-06,2.9216281209470024e-06
dual,0.002,bottom,2000000,102,43000000,1823,45000000,1925,4.277777777777778e-05,4.0909064275404956e-05,4.4731849720920595e-05
dual,0.002,either,2000000,168,43000000,3282,45000000,3450,7.666666666666667e-05,7.415082260727693e-05,7.926786338092594e-05
dual,0.002,top,2000000,72,43000000,1562,45000000,1634,3.6311111111111114e-05,3.459270200607717e-05,3.8114879760978675e-05
dual,0.003,both,2000000,5,43000000,96,45000000,101,2.2444444444444445e-06,1.8473316592434454e-06,2.726922590731772e-06
dual,0.003,bottom,2000000,90,43000000,1764,45000000,1854,4.12e-05,3.9366847462656456e-05,4.311851124748988e-05
dual,0.003,either,2000000,164,43000000,3259,45000000,3423,7.606666666666667e-05,7.356085036326058e-05,7.865783572738118e-05
dual,0.003,top,2000000,79,43000000,1591,45000000,1670,3.7111111111111113e-05,3.537341961526489e-05,3.893416201520576e-05
dual,0.004,both,2000000,4,43000000,100,45000000,104,2.311111111111111e-06,1.9075751457246927e-06,2.8000124262017593e-06
dual,0.004,bottom,2000000,77,43000000,1818,45000000,1895,4.211111111111111e-05,4.025734200251549e-05,4.4050238774297724e-05
dual,0.004,either,2000000,127,43000000,3249,45000000,3376,7.502222222222222e-05,7.253395644418907e-05,7.759584093588334e-05
dual,0.004,top,2000000,54,43000000,1531,45000000,1585,3.522222222222222e-05,3.353040305874649e-05,3.69994011164392e-05
dual,0.005,both,2000000,8,43000000,104,45000000,112,2.488888888888889e-06,2.0686599662162852e-06,2.994483130913458e-06
dual,0.005,bottom,2000000,89,43000000,1823,45000000,1912,4.248888888888889e-05,4.062663689357998e-05,4.443649937429022e-05
dual,0.005,either,2000000,150,43000000,3273,45000000,3423,7.606666666666667e-05,7.356085036326058e-05,7.865783572738118e-05
dual,0.005,top,2000000,69,43000000,1554,45000000,1623,3.6066666666666665e-05,3.435419166209201e-05,3.78645012578093e-05
dual,0.006,both,2000000,4,43000000,122,45000000,126,2.8e-06,2.3519227917526443e-06,3.333442474482857e-06
dual,0.006,bottom,2000000,71,43000000,1847,45000000,1918,4.2622222222222224e-05,4.075698527323992e-05,4.4572817638532746e-05
