p_link,decoder,observable,shots,errors,ler,ci95_low,ci95_high
0.001,standard,bottom,2000000,84,4.2e-05,3.392760628464831e-05,5.1992958095543785e-05
0.001,standard,top,2000000,69,3.45e-05,2.7263655772166156e-05,4.365693741891176e-05
0.001,standard,either,2000000,149,7.45e-05,6.34599936137271e-05,8.746044591929313e-05
0.001,standard,both,2000000,4,2e-06,7.777612080252415e-07,5.142956830224555e-06
0.001,correlated,bottom,2000000,68,3.4e-05,2.6822446146830222e-05,4.309814896497341e-05
0.001,correlated,top,2000000,53,2.65e-05,2.0261695299512394e-05,3.4658928623177065e-05
0.001,correlated,either,2000000,117,5.85e-05,4.881703845931609e-05,7.01034625369272e-05
0.001,correlated,both,2000000,4,2e-06,7.777612080252415e-07,5.142956830224555e-06
0.002,standard,bottom,2000000,102,5.1e-05,4.201671801846345e-05,6.190381178866566e-05
0.002,standard,top,2000000,72,3.6e-05,2.858976202769506e-05,4.533082540120569e-05
0.002,standard,either,2000000,168,8.4e-05,7.222248606925304e-05,9.769791696997847e-05
0.002,standard,both,2000000,6,3e-06,1.3749276111819677e-06,6.545786585616385e-06
0.002,correlated,bottom,2000000,83,4.15e-05,3.348092052346704e-05,5.1439645777450774e-05
0.002,correlated,top,2000000,51,2.55e-05,1.939635892117281e-05,3.352426884296809e-05
0.002,correlated,either,2000000,128,6.4e-05,5.3831869002483627e-05,7.608861086577674e-05
0.002,correlated,both,2000000,6,3e-06,1.3749276111819677e-06,6.545786585616385e-06
0.003,standard,bottom,2000000,90,4.5e-05,3.661410615339992e-05,5.530644670243785e-05
0.003,standard,top,2000000,79,3.95e-05,3.169742100639758e-05,4.9223152977423114e-05
0.003,standard,either,2000000,164,8.2e-05,7.0374157986685e-05,9.55462527354494e-05
0.003,standard,both,2000000,5,2.5e-06,1.0678510265100667e-06,5.852865091014009e-06
0.003,correlated,bottom,2000000,62,3.1e-05,2.418451821295753e-05,3.973608842320043e-05
0.003,correlated,top,2000000,66,3.3e-05,2.5941319977181288e-05,4.197927897607379e-05
0.003,correlated,either,2000000,124,6.2e-05,5.200580725194715e-05,7.391468029921613e-05
0.003,correlated,both,2000000,4,2e-06,7.777612080252415e-07,5.142956830224555e-06
0.004,standard,bottom,2000000,77,3.85e-05,3.080770270593407e-05,4.811287511933808e-05
0.004,standard,top,2000000,54,2.7e-05,2.069529954327043e-05,3.522532245869331e-05
0.004,standard,either,2000000,127,6.35e-05,5.33750976377569e-05,7.55453841512292e-05
0.004,standard,both,2000000,4,2e-06,7.777612080252415e-07,5.142956830224555e-06
