architecture,logical_basis,legend_label,display_label,decoder,enable_correlations_at_compile,enable_correlations_at_decode,observable,metric,p_link,p1,bulk_p2,boundary_x,crossing_two_qubit_locations,bulk_two_qubit_locations,shots,retained_shots,logical_errors,discards,ler,clopper_pearson_95_low,clopper_pearson_95_high,circuit_sha256,noisy_circuit_sha256,strict_dem_sha256,native_dem_sha256,dem_model,sampling_policy,shortest_graphlike_error,source_manifest_sha256,source_native_architecture,total_two_qubit_locations,tqecd_version,tqecd_git_commit,detector_source_manifest_sha256,aggregation_manifest_sha256
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,12.0,264,15456,45000000,45000000,44,0,9.777777777777778e-07,7.10454917247511e-07,1.3126208086901112e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,49cdcddbd9470f6411d9a9fd46f26c0d8c4f39a05afc7c6d3b19758c898b15d9,51de7ff4c35a8b17966592d6c23d9565c3c44a2c657575e14230fa59ce513084,a59b85f43e0ff61f5015bd0dbbd03d102d029ea5f600f878a179285e370e86e3,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,12.0,264,15456,45000000,45000000,48,0,1.0666666666666667e-06,7.864758975204912e-07,1.4142450027110036e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,760edf704ac181c77736542f876b4932c3640d32fb2c1ee74bb4944b2d75e153,b1422ef59af117085dedfd99ed994a1664e89da418981992deaf6daaed5df78c,fd02862bf10fc862ef58e94c145fc98a9e99801c3db2d336701436f762f0f810,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,12.0,264,15456,45000000,45000000,30,0,6.666666666666667e-07,4.497972442519233e-07,9.517079841367053e-07,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,eb8b9c7ab6cdf7dfbdae23a1717fdff79b4d2250188ff89ecec0aabc1d3a55ca,76432bf64875946ae659cfacb2de594de35598e21e9c65ab0bcc5d21e305b62b,75af0574901d5762e827961aedd9286b94c425494d0f9ff53a73dde4bbf783f7,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.004,0.0001,0.0001,12.0,264,15456,45000000,45000000,37,0,8.222222222222222e-07,5.789203877072444e-07,1.1333248490254136e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,7b6d0042682dc12281ee0301fd68534ec7d286323af04139c3aeeeccf5a56f78,46bf1567443a9ccdb5c9026b0b05b89f86cec6c1845eaa4c2cffaeffca92dc27,5bd70c751c636eee158ae684753cb50c449d33fbf2c457eb00f690e379638929,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.005,0.0001,0.0001,12.0,264,15456,45000000,45000000,45,0,1e-06,7.294069525425218e-07,1.3380784515222323e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,9d4a458c99b002753ae43844e686094061395f6f2eede8b03d5b3ddd58693e4f,c971663f5f1e2719d54443d3e95e10736e53d7694693e0ae660ca7871ce3506c,072380cee656438dc5f0173c30aad951d80da20e3f1eb766070df15c8868c6f1,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.006,0.0001,0.0001,12.0,264,15456,45000000,45000000,40,0,8.888888888888889e-07,6.35035327809056e-07,1.2104141823878666e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,cdcca8dc4d5037a657925519dd6e598d2e04b18cee302a22c9a845e834193935,77932319f8f51efd0174bb9b373802d469168cc99f12818dcc30be8541b0623b,c53cdc959a0f7d5a54ac5373f8300bca2df605c803928b504804e66f9e79d85e,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,12.0,264,15456,45000000,45000000,42,0,9.333333333333333e-07,6.726646520301335e-07,1.2615953213438215e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,108235e1a567d46f8ccfb4c43936fdc4b873f52f10690fa817a1e3bc7b80b0c3,b48d97b895e4671913eb19d4e772fcd3f90124283abe4b094ba1525c00da3df5,1c297c41a9d53eac035e84c2c412b6dfd85b697113c2a66e2ace3ca04c4218f1,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,12.0,264,15456,45000000,45000000,53,0,1.1777777777777778e-06,8.822364968407193e-07,1.5405620523139393e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,f9887f54913048ec84ea7d3fdfdc6e2a0372d2835baee60f52703a4b80928761,cb7493f67e3ddf3d2d91f507b9ddd9479e85b36f30d992bbc8455ab3d899e0cd,92e0e7ab50d2a11f64d26893e4903994aee1574e72060b8acd36288056acaf35,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,12.0,264,15456,45000000,45000000,50,0,1.111111111111111e-06,8.24688191996377e-07,1.4648612223320228e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,51881e506ef059a68dd3d97f113e5b97ce91fcc3e539439be81d71b7eee1dba8,0739e694c7e2b80e12f9fa8291b908c90c9dc6e370614156220ee1a02382ffc8,f8659a6258d2c7fcbfa5428473444a8eac3289de6cf6482e2295acdac4571a74,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
mixed_d5_d11_d5,X,d5-d11-d5 X,Mixed D5-D11-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,12.0,264,15456,45000000,45000000,46,0,1.0222222222222221e-06,7.483952365715569e-07,1.3635009609014047e-06,711620aef185ee78a42e1cdd10ce4870d6f413b9a8e40cad7ad3b8d57e811115,a379e30a39303b37d438a53f4c1f58bcf21ac601167db68bc5a901c979d40a2b,dffac7b8ba29fb4654cee1872963ebdd41c4cf6d8a39051a5ed4cf94398e1763,b9fd3297007734dde84d27817da8177d528a5e2d29af8bd929b0ceffc002af12,strict_decomposed,authenticated_prior_plus_disjoint_20260921_fixed_45000000_standard_pymatching,5,00b492f9bb313c2123632dd69764653ef32ffd885a005e9a8717b3fe58c593b6,,,,,,00bf458fa5a9994632181f4972629bfc4dfc83b8b279c7ece5c8d428c8cd9349
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,9.5,45,4235,45000000,45000000,56,0,1.2444444444444445e-06,9.400400922453615e-07,1.6160143221593037e-06,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,332530135eec6c2e3884f810227cf72fc1958513215ee836b22ca56e04a8083d,c4258c2d90ef2586137d9593d2cd55fa34e6a774f72519c9e111a5e1763357c7,18863e873c31fc9e568b3c107466a59b5c46164581a0409398f7ae47181385cb,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,9.5,45,4235,45000000,45000000,149,0,3.311111111111111e-06,2.8008085521058474e-06,3.887492977766751e-06,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,887f88720268c6cf78bd74e831688e94afdd4edfbcca1568c5d28d83b7e33678,f6afe867b01f5da573f7d7999435e9d8854b8e3fb478f2bdedd6deb5374423ff,0332127d86f0b144a15a337abac943062dcd01c1b9eaf2167012591e59b59142,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
standard_d5d5d5,X,d5-d5-d5 X,Standard D5-D5-D5 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,9.5,45,4235,45000000,45000000,312,0,6.933333333333334e-06,6.185264403687675e-06,7.746941828424437e-06,786729f64280a63db1ea3d973a0310dfb964ee646fd934fad98e0215dd83d047,0bbd4108ddb98972ae62092f51b772838eace2de4e8148c078e3e249097cb9d2,e5fb5f874534c1412273588b8ba504431e370c36ee4bd063249d24f379fd479c,d4fcc2ff1df72bc328b3ceec0bdc3030c5adf19603d6402336159ec8487e4030,strict_decomposed,authenticated_v3_15000000_plus_independent_30000000_fixed_45000000_standard_pymatching_only,5,19eebdf7bb1ccfacb5eb80b5f82a1eb95e0caf47503c5e74cc85d336edf58055,standard_d5d5d5,4280,0.1.2,6a2b0882a4f72545cac943ed66aece55d9d65747,b08dd94267ac857554d9177ae964362170cd1917b0e7282fdb73391d2c78b07e,d658f25ecfb58d616fcef2d3e3455010adb3b9a163bf1505de817fb6ffb45219
